category,unicode,name,browser
Lu,U+01A7,LATIN CAPITAL LETTER TONE TWO,Ƨ
Lu,U+01A9,LATIN CAPITAL LETTER ESH,Ʃ
Lu,U+01AC,LATIN CAPITAL LETTER T WITH HOOK,Ƭ
Lu,U+01AE,LATIN CAPITAL LETTER T WITH RETROFLEX HOOK,Ʈ
Lu,U+01AF,LATIN CAPITAL LETTER U WITH HORN,Ư
Lu,U+01B1,LATIN CAPITAL LETTER UPSILON,Ʊ
Lu,U+01B2,LATIN CAPITAL LETTER V WITH HOOK,Ʋ
Lu,U+01B3,LATIN CAPITAL LETTER Y WITH HOOK,Ƴ
Lu,U+01B5,LATIN CAPITAL LETTER Z WITH STROKE,Ƶ
Lu,U+01B7,LATIN CAPITAL LETTER EZH,Ʒ
Lu,U+01B8,LATIN CAPITAL LETTER EZH REVERSED,Ƹ
Lu,U+01BC,LATIN CAPITAL LETTER TONE FIVE,Ƽ
Lu,U+01C4,LATIN CAPITAL LETTER DZ WITH CARON,Ǆ
Lu,U+01C7,LATIN CAPITAL LETTER LJ,Ǉ
Lu,U+01CA,LATIN CAPITAL LETTER NJ,Ǌ
Lu,U+01CD,LATIN CAPITAL LETTER A WITH CARON,Ǎ
Lu,U+01CF,LATIN CAPITAL LETTER I WITH CARON,Ǐ
Lu,U+01D1,LATIN CAPITAL LETTER O WITH CARON,Ǒ
Lu,U+01D3,LATIN CAPITAL LETTER U WITH CARON,Ǔ
Lu,U+01D5,LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON,Ǖ
Lu,U+01D7,LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE,Ǘ
Lu,U+01D9,LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON,Ǚ
Lu,U+01DB,LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE,Ǜ
Lu,U+01DE,LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON,Ǟ
Lu,U+01E0,LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON,Ǡ
Lu,U+01E2,LATIN CAPITAL LETTER AE WITH MACRON,Ǣ
Lu,U+01E4,LATIN CAPITAL LETTER G WITH STROKE,Ǥ
Lu,U+01E6,LATIN CAPITAL LETTER G WITH CARON,Ǧ
Lu,U+01E8,LATIN CAPITAL LETTER K WITH CARON,Ǩ
Lu,U+01EA,LATIN CAPITAL LETTER O WITH OGONEK,Ǫ
Lu,U+01EC,LATIN CAPITAL LETTER O WITH OGONEK AND MACRON,Ǭ
Lu,U+01EE,LATIN CAPITAL LETTER EZH WITH CARON,Ǯ
Lu,U+01F1,LATIN CAPITAL LETTER DZ,Ǳ
Lu,U+01F4,LATIN CAPITAL LETTER G WITH ACUTE,Ǵ
Lu,U+01F6,LATIN CAPITAL LETTER HWAIR,Ƕ
Lu,U+01F7,LATIN CAPITAL LETTER WYNN,Ƿ
Lu,U+01F8,LATIN CAPITAL LETTER N WITH GRAVE,Ǹ
Lu,U+01FA,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE,Ǻ
Lu,U+01FC,LATIN CAPITAL LETTER AE WITH ACUTE,Ǽ
Lu,U+01FE,LATIN CAPITAL LETTER O WITH STROKE AND ACUTE,Ǿ
Lu,U+0200,LATIN CAPITAL LETTER A WITH DOUBLE GRAVE,Ȁ
Lu,U+0202,LATIN CAPITAL LETTER A WITH INVERTED BREVE,Ȃ
Lu,U+0204,LATIN CAPITAL LETTER E WITH DOUBLE GRAVE,Ȅ
Lu,U+0206,LATIN CAPITAL LETTER E WITH INVERTED BREVE,Ȇ
Lu,U+0208,LATIN CAPITAL LETTER I WITH DOUBLE GRAVE,Ȉ
Lu,U+020A,LATIN CAPITAL LETTER I WITH INVERTED BREVE,Ȋ
Lu,U+020C,LATIN CAPITAL LETTER O WITH DOUBLE GRAVE,Ȍ
Lu,U+020E,LATIN CAPITAL LETTER O WITH INVERTED BREVE,Ȏ
Lu,U+0210,LATIN CAPITAL LETTER R WITH DOUBLE GRAVE,Ȑ
Lu,U+0212,LATIN CAPITAL LETTER R WITH INVERTED BREVE,Ȓ
Lu,U+0214,LATIN CAPITAL LETTER U WITH DOUBLE GRAVE,Ȕ
Lu,U+0216,LATIN CAPITAL LETTER U WITH INVERTED BREVE,Ȗ
Lu,U+0218,LATIN CAPITAL LETTER S WITH COMMA BELOW,Ș
Lu,U+021A,LATIN CAPITAL LETTER T WITH COMMA BELOW,Ț
Lu,U+021C,LATIN CAPITAL LETTER YOGH,Ȝ
Lu,U+021E,LATIN CAPITAL LETTER H WITH CARON,Ȟ
Lu,U+0220,LATIN CAPITAL LETTER N WITH LONG RIGHT LEG,Ƞ
Lu,U+0222,LATIN CAPITAL LETTER OU,Ȣ
Lu,U+0224,LATIN CAPITAL LETTER Z WITH HOOK,Ȥ
Lu,U+0226,LATIN CAPITAL LETTER A WITH DOT ABOVE,Ȧ
Lu,U+0228,LATIN CAPITAL LETTER E WITH CEDILLA,Ȩ
Lu,U+022A,LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON,Ȫ
Lu,U+022C,LATIN CAPITAL LETTER O WITH TILDE AND MACRON,Ȭ
Lu,U+022E,LATIN CAPITAL LETTER O WITH DOT ABOVE,Ȯ
