category,unicode,name,browser
Nd,U+A621,VAI DIGIT ONE,꘡
Nd,U+A622,VAI DIGIT TWO,꘢
Nd,U+A623,VAI DIGIT THREE,꘣
Nd,U+A624,VAI DIGIT FOUR,꘤
Nd,U+A625,VAI DIGIT FIVE,꘥
Nd,U+A626,VAI DIGIT SIX,꘦
Nd,U+A627,VAI DIGIT SEVEN,꘧
Nd,U+A628,VAI DIGIT EIGHT,꘨
Nd,U+A629,VAI DIGIT NINE,꘩
Nd,U+A8D0,SAURASHTRA DIGIT ZERO,꣐
Nd,U+A8D1,SAURASHTRA DIGIT ONE,꣑
Nd,U+A8D2,SAURASHTRA DIGIT TWO,꣒
Nd,U+A8D3,SAURASHTRA DIGIT THREE,꣓
Nd,U+A8D4,SAURASHTRA DIGIT FOUR,꣔
Nd,U+A8D5,SAURASHTRA DIGIT FIVE,꣕
Nd,U+A8D6,SAURASHTRA DIGIT SIX,꣖
Nd,U+A8D7,SAURASHTRA DIGIT SEVEN,꣗
Nd,U+A8D8,SAURASHTRA DIGIT EIGHT,꣘
Nd,U+A8D9,SAURASHTRA DIGIT NINE,꣙
Nd,U+A900,KAYAH LI DIGIT ZERO,꤀
Nd,U+A901,KAYAH LI DIGIT ONE,꤁
Nd,U+A902,KAYAH LI DIGIT TWO,꤂
Nd,U+A903,KAYAH LI DIGIT THREE,꤃
Nd,U+A904,KAYAH LI DIGIT FOUR,꤄
Nd,U+A905,KAYAH LI DIGIT FIVE,꤅
Nd,U+A906,KAYAH LI DIGIT SIX,꤆
Nd,U+A907,KAYAH LI DIGIT SEVEN,꤇
Nd,U+A908,KAYAH LI DIGIT EIGHT,꤈
Nd,U+A909,KAYAH LI DIGIT NINE,꤉
Nd,U+A9D0,JAVANESE DIGIT ZERO,꧐
Nd,U+A9D1,JAVANESE DIGIT ONE,꧑
Nd,U+A9D2,JAVANESE DIGIT TWO,꧒
Nd,U+A9D3,JAVANESE DIGIT THREE,꧓
Nd,U+A9D4,JAVANESE DIGIT FOUR,꧔
Nd,U+A9D5,JAVANESE DIGIT FIVE,꧕
Nd,U+A9D6,JAVANESE DIGIT SIX,꧖
Nd,U+A9D7,JAVANESE DIGIT SEVEN,꧗
Nd,U+A9D8,JAVANESE DIGIT EIGHT,꧘
Nd,U+A9D9,JAVANESE DIGIT NINE,꧙
Nd,U+A9F0,MYANMAR TAI LAING DIGIT ZERO,꧰
Nd,U+A9F1,MYANMAR TAI LAING DIGIT ONE,꧱
Nd,U+A9F2,MYANMAR TAI LAING DIGIT TWO,꧲
Nd,U+A9F3,MYANMAR TAI LAING DIGIT THREE,꧳
Nd,U+A9F4,MYANMAR TAI LAING DIGIT FOUR,꧴
Nd,U+A9F5,MYANMAR TAI LAING DIGIT FIVE,꧵
Nd,U+A9F6,MYANMAR TAI LAING DIGIT SIX,꧶
Nd,U+A9F7,MYANMAR TAI LAING DIGIT SEVEN,꧷
Nd,U+A9F8,MYANMAR TAI LAING DIGIT EIGHT,꧸
Nd,U+A9F9,MYANMAR TAI LAING DIGIT NINE,꧹
Nd,U+AA50,CHAM DIGIT ZERO,꩐
Nd,U+AA51,CHAM DIGIT ONE,꩑
Nd,U+AA52,CHAM DIGIT TWO,꩒
Nd,U+AA53,CHAM DIGIT THREE,꩓
Nd,U+AA54,CHAM DIGIT FOUR,꩔
Nd,U+AA55,CHAM DIGIT FIVE,꩕
Nd,U+AA56,CHAM DIGIT SIX,꩖
Nd,U+AA57,CHAM DIGIT SEVEN,꩗
Nd,U+AA58,CHAM DIGIT EIGHT,꩘
Nd,U+AA59,CHAM DIGIT NINE,꩙
Nd,U+ABF0,MEETEI MAYEK DIGIT ZERO,꯰
Nd,U+ABF1,MEETEI MAYEK DIGIT ONE,꯱
Nd,U+ABF2,MEETEI MAYEK DIGIT TWO,꯲
Nd,U+ABF3,MEETEI MAYEK DIGIT THREE,꯳
Nd,U+ABF4,MEETEI MAYEK DIGIT FOUR,꯴
Nd,U+ABF5,MEETEI MAYEK DIGIT FIVE,꯵
Nd,U+ABF6,MEETEI MAYEK DIGIT SIX,꯶
Nd,U+ABF7,MEETEI MAYEK DIGIT SEVEN,꯷
Nd,U+ABF8,MEETEI MAYEK DIGIT EIGHT,꯸
Nd,U+ABF9,MEETEI MAYEK DIGIT NINE,꯹
Nd,U+FF10,FULLWIDTH DIGIT ZERO,０
Nd,U+FF11,FULLWIDTH DIGIT ONE,１
Nd,U+FF12,FULLWIDTH DIGIT TWO,２
Nd,U+FF13,FULLWIDTH DIGIT THREE,３
Nd,U+FF14,FULLWIDTH DIGIT FOUR,４
Nd,U+FF15,FULLWIDTH DIGIT FIVE,５
Nd,U+FF16,FULLWIDTH DIGIT SIX,６
Nd,U+FF17,FULLWIDTH DIGIT SEVEN,７
Nd,U+FF18,FULLWIDTH DIGIT EIGHT,８
Nd,U+FF19,FULLWIDTH DIGIT NINE,９
Nd,U+104A0,OSMANYA DIGIT ZERO,𐒠
